,NODE1,SOURCEINTEXT,DATE,SOURCE
0,Russian,Christopher Steele,[6.20.2016],Steele dossier 2016/080
1,Foreign Ministry,Christopher Steele,[6.20.2016],Steele dossier 2016/080
2,Kremlin,Christopher Steele,[6.20.2016],Steele dossier 2016/080
3,US,Christopher Steele,[6.20.2016],Steele dossier 2016/080
4,Republican,Christopher Steele,[6.20.2016],Steele dossier 2016/080
5,Donald Trump,Christopher Steele,[6.20.2016],Steele dossier 2016/080
6,Vladimir Putin,Christopher Steele,[6.20.2016],Steele dossier 2016/080
7,Trump,Christopher Steele,[6.20.2016],Steele dossier 2016/080
8,Transatlantic,Christopher Steele,[6.20.2016],Steele dossier 2016/080
9,Russia,Christopher Steele,[6.20.2016],Steele dossier 2016/080
10,Great Power,Christopher Steele,[6.20.2016],Steele dossier 2016/080
11,Trump and Trump,Christopher Steele,[6.20.2016],Steele dossier 2016/080
12,Democratic,Christopher Steele,[6.20.2016],Steele dossier 2016/080
13,Hillary Clinton,Christopher Steele,[6.20.2016],Steele dossier 2016/080
14,Trump who,Christopher Steele,[6.20.2016],Steele dossier 2016/080
15,Moscow,Christopher Steele,[6.20.2016],Steele dossier 2016/080
16,Trump's,Christopher Steele,[6.20.2016],Steele dossier 2016/080
17,Mrs Obama,Christopher Steele,[6.20.2016],Steele dossier 2016/080
18,FSB,Christopher Steele,[6.20.2016],Steele dossier 2016/080
19,The Moscow Ritz Carlton,Christopher Steele,[6.20.2016],Steele dossier 2016/080
20,Department K,Christopher Steele,[6.20.2016],Steele dossier 2016/080
21,Bill,Christopher Steele,[6.20.2016],Steele dossier 2016/080
22,Clinton,Christopher Steele,[6.20.2016],Steele dossier 2016/080
23,Dmitriy Peskov,Christopher Steele,[6.20.2016],Steele dossier 2016/080
24,Putin,Christopher Steele,[6.20.2016],Steele dossier 2016/080
25,Trump or Trump,Christopher Steele,[6.20.2016],Steele dossier 2016/080
